Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-1405.5034,-72.02458,1142.042,-267.4378,-33.87718,-139.6599,-241.0832,5.690081,-104.7301,-269.4998,6.360775,-139.6599
-1548.0953,-79.33166,970.3556,-267.4378,-33.87718,-139.6599,-269.4998,6.360775,-139.6599,-292.8575,-8.425229,-178.1334
-60.281643,-12.270059,295.25385,-43.23328,-12.2263,-3.072789,-44.57264,-5.646154,-3.072789,-85.66142,-24.22492,-12.23393
-119.44076,-24.311563,585.0095,-85.66142,-24.22492,-12.23393,-44.57264,-5.646154,-3.072789,-88.31519,-11.18716,-12.23393
-196.59497,-40.015915,563.0137,-85.66142,-24.22492,-12.23393,-88.31519,-11.18716,-12.23393,-126.4943,-35.77239,-27.31282
-290.30722,-59.091164,831.3901,-126.4943,-35.77239,-27.31282,-88.31519,-11.18716,-12.23393,-130.4131,-16.51983,-27.31282
-398.83252,-81.18117,783.426,-126.4943,-35.77239,-27.31282,-130.4131,-16.51983,-27.31282,-164.9715,-46.65368,-48.02864
-520.15,-105.87461,1021.72925,-164.9715,-46.65368,-48.02864,-130.4131,-16.51983,-27.31282,-170.0823,-21.54485,-48.02864
-652.0003,-132.71225,940.1476,-164.9715,-46.65368,-48.02864,-170.0823,-21.54485,-48.02864,-200.3764,-56.66614,-73.99561
-791.9278,-161.19247,1141.9131,-200.3764,-56.66614,-73.99561,-170.0823,-21.54485,-48.02864,-206.584,-26.16864,-73.99561
-937.32513,-190.7873,1021.5587,-200.3764,-56.66614,-73.99561,-206.584,-26.16864,-73.99561,-232.0497,-65.6233,-104.7301
-1085.487,-220.94728,1183.0386,-232.0497,-65.6233,-104.7301,-206.584,-26.16864,-73.99561,-239.2386,-30.30509,-104.7301
-1233.6577,-251.10693,1021.6272,-232.0497,-65.6233,-104.7301,-239.2386,-30.30509,-104.7301,-259.4016,-73.35837,-139.6599
-1379.0698,-280.7026,1142.0441,-259.4016,-73.35837,-139.6599,-239.2386,-30.30509,-104.7301,-267.4378,-33.87718,-139.6599
-1518.98,-309.1806,972.0057,-259.4016,-73.35837,-139.6599,-267.4378,-33.87718,-139.6599,-287.934,-54.13451,-178.1334
-57.779682,-21.117516,295.2542,-40.92816,-18.53334,-3.072789,-43.23328,-12.2263,-3.072789,-81.09412,-36.72153,-12.23393
-114.48321,-41.841736,585.0094,-81.09412,-36.72153,-12.23393,-43.23328,-12.2263,-3.072789,-85.66142,-24.22492,-12.23393
-188.43503,-68.86992,563.0139,-81.09412,-36.72153,-12.23393,-85.66142,-24.22492,-12.23393,-119.7499,-54.22586,-27.31282
-278.2579,-101.698074,831.38916,-119.7499,-54.22586,-27.31282,-85.66142,-24.22492,-12.23393,-126.4943,-35.77239,-27.31282
-382.2788,-139.71577,783.42426,-119.7499,-54.22586,-27.31282,-126.4943,-35.77239,-27.31282,-156.1755,-70.72034,-48.02864
-498.56058,-182.21614,1021.72925,-156.1755,-70.72034,-48.02864,-126.4943,-35.77239,-27.31282,-164.9715,-46.65368,-48.02864
-624.93823,-228.40523,940.1477,-156.1755,-70.72034,-48.02864,-164.9715,-46.65368,-48.02864,-189.6927,-85.8978,-73.99561
-759.05756,-277.42337,1141.9142,-189.6927,-85.8978,-73.99561,-164.9715,-46.65368,-48.02864,-200.3764,-56.66614,-73.99561
-898.42,-328.3581,1021.55756,-189.6927,-85.8978,-73.99561,-200.3764,-56.66614,-73.99561,-219.6772,-99.47559,-104.7301
-1040.433,-380.2624,1183.0361,-219.6772,-99.47559,-104.7301,-200.3764,-56.66614,-73.99561,-232.0497,-65.6233,-104.7301
-1182.4537,-432.1688,1021.6291,-219.6772,-99.47559,-104.7301,-232.0497,-65.6233,-104.7301,-245.5708,-111.2009,-139.6599
-1321.8318,-483.10736,1142.0479,-245.5708,-111.2009,-139.6599,-232.0497,-65.6233,-104.7301,-259.4016,-73.35837,-139.6599
-1455.9349,-532.1198,972.99554,-245.5708,-111.2009,-139.6599,-259.4016,-73.35837,-139.6599,-275.9205,-98.51083,-178.1334
-53.986877,-29.493292,295.25403,-37.70877,-24.42637,-3.072789,-40.92816,-18.53334,-3.072789,-74.71529,-48.39784,-12.23393
-106.96829,-58.43736,585.0094,-74.71529,-48.39784,-12.23393,-40.92816,-18.53334,-3.072789,-81.09412,-36.72153,-12.23393
-176.06577,-96.18568,563.0137,-74.71529,-48.39784,-12.23393,-81.09412,-36.72153,-12.23393,-110.3304,-71.46801,-27.31282
-259.9925,-142.03564,831.39087,-110.3304,-71.46801,-27.31282,-81.09412,-36.72153,-12.23393,-119.7499,-54.22586,-27.31282
-357.18527,-195.13272,783.4259,-110.3304,-71.46801,-27.31282,-119.7499,-54.22586,-27.31282,-143.8908,-93.20722,-48.02864
-465.83426,-254.48792,1021.72833,-143.8908,-93.20722,-48.02864,-119.7499,-54.22586,-27.31282,-156.1755,-70.72034,-48.02864
-583.9163,-318.99683,940.1491,-143.8908,-93.20722,-48.02864,-156.1755,-70.72034,-48.02864,-174.7716,-113.2106,-73.99561
-709.23083,-387.45572,1141.913,-174.7716,-113.2106,-73.99561,-156.1755,-70.72034,-48.02864,-189.6927,-85.8978,-73.99561
-839.4451,-458.5923,1021.5594,-174.7716,-113.2106,-73.99561,-189.6927,-85.8978,-73.99561,-202.3976,-131.1058,-104.7301
-972.13837,-531.0798,1183.0349,-202.3976,-131.1058,-104.7301,-189.6927,-85.8978,-73.99561,-219.6772,-99.47559,-104.7301
-1104.8368,-603.57294,1021.6228,-202.3976,-131.1058,-104.7301,-219.6772,-99.47559,-104.7301,-226.2543,-146.5593,-139.6599
